"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "Ter" "Aqu" "Aer" "HABsb_1.1.0" "HABsb_1.1.3" "HABsb_1.2" "HABsb_1.2.1" "HABsb_1.2.1.1" "HABsb_1.2.2" "HABsb_1.2.3" "HABsb_1.2.4" "HABsb_1.3" "HABsb_1.3.2" "HABsb_1.3.3" "HABsb_2" "HABsb_2.0" "HABsb_2.1" "HABsb_2.1.2" "HABsb_2.2" "HABsb_2.2.2" "HABsb_2.2.3" "HABsb_2.2.5" "HABsb_2.3" "HABsb_2.4" "HABsb_2.4.1" "HABsb_2.5" "HABsb_2.5.1" "HABsb_3" "HABsb_3.2" "HABsb_3.2.1" "HABsb_3.2.2" "HABsb_3.3" "HABsb_3.3.1" "HABsb_3.3.2" "HABsb_3.4" "HABsb_3.4.1" "HABsb_3.4.1.2" "HABsb_3.4.1.3" "HABsb_3.4.2" "HABsb_3.4.2.1" "HABsb_4.1" "HABsb_4.1.1" "HABsb_4.1.2" "HABsb_4.2" "HABsb_4.2.1" "HABsb_4.3" "HABsb_4.3.1" "HABsb_4.3.4" "HABsb_4.3.7" "HABsb_4.4" "HABsb_4.4.2" "HABsb_4.5" "HABsb_5" "HABsb_5.2" "HABsb_5.3" "HABsb_5.3.2" "HABsb_5.3.9" "HABsb_5.4" "HABsb_5.4.1" "HABsb_5.4.5" "HABsb_6" "HABsb_6.1" "HABsb_6.2" "HABsb_6.2." "HABsb_6.3" "HABsb_6.3.1" "HABsb_6.3.7" "HABsb_6.3a" "HABsb_6.3b" "HABsb_6.3c" "HABsb_6.5" "HABsb_6.6" "HABsb_6.6.2" "HABsb_6.6.3" "HABsb_7" "HABsb_7.1" "HABsb_7.2" "HABsb_7.2.1" "HABsb_8" "HABsb_8.1" "HABsb_8.1.6" "HABsb_8.2" "HABsb_8.2.1" "HABsb_9.2" "HABsb_9.2.4" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "FORESTbet_substr" "MUDsb_substr" "WATERsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "EIVbet_Cont" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abietinella abietina" "SPEED2ZERO" "Bryophytes" "Abietinella abietina (Hedw.) M.Fleisch." "SPECIES" "INN" NA "LC" NA "Abietinella" "Thuidiaceae" "Hypnales" "Bryopsida" "Bryophyta" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 "pleurocarpous" "weft" "perennial" 0 "erect" 1 1 0 "dioicous" "rare" 16.7 31 102.5 16.5 0 400 0 0 0 0 0 "occasional" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 349 0 9 5 58 1 0 25 1 10 0 2 0 4 0 1 0 0 "open" 0 0 0 2 2 7 4 2 0 0 3 8 4 5 5.55 709.2 0 1412.5 2825 2727303.73239783 "NO"
"Acaulon muticum" "InfoSpecies" "Bryophytes" "Acaulon muticum (Schreb. ex Hedw.) Müll.Hal." "SPECIES" "INN" NA "CR" NA "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 "acrocarpous" "annual" "annual_shuttle" 0 "erect" 0 1 0 "monoicous" "common" 3.3 0 2 35 0 600 0 0 0 0 0 "rare" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 19 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "open" 0 0 0 7 3 5 4 4 0 5 3 9 4 5 8.65 674.3 0 700 1400 653868.13561013 "NO"
"Acaulon triquetrum" "InfoSpecies" "Bryophytes" "Acaulon triquetrum (Spruce) Müll.Hal." "SPECIES" "INN" NA "EN" NA "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 0 1.5 30 0 400 0 0 0 0 0 "rare" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "open" 0 0 0 3 1 6 4 4 0 7 5 9 5 5 12.95 627.3 0 900 1800 387537.807197842 "NO"
"Aloina aloides" "SPEED2ZERO" "Bryophytes" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "SPECIES" "INN" NA "EN" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 0 5 18 0 650 0 0 0 0 0 "occasional" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 13 1 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 "mix" 0 0 0 4 2 9 5 3 0 6 4 7 4 5 10.05 798 0 400 800 226724.576029776 "NO"
"Aloina aloides aggr." "InfoSpecies" "Bryophytes" NA "AGGREGATE" NA NA "alle EN" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 "acrocarpous" "turf" "colonist" 0 "inclined" 1 1 0 "dioicous" "rare" 6.7 15 40 14.5 0 650 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 21 150 0 3 27 29 7 13 10 0 10 1 6 0 5 0 0 0 0 "mix" 0 0 0 5 2 7 5 4 0 1 2 4 1 3 3.35 805.6 100 1050 2660 2727303.73239783 "NO"
"Aloina ambigua" "InfoSpecies" "Bryophytes" "Aloina ambigua (Bruch & Schimp.) Limpr." "SPECIES" "INN" NA "EN" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 "acrocarpous" "annual" "colonist" 0 "erect" 1 1 0 "dioicous" "common" 6.7 15 4.25 16 0 300 0 0 0 0 0 "rare" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 6 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 "mix" 0 0 0 4 2 8 5 5 0 6 4 7 4 5 9.65 706 10 1055 2100 378536.181746424 "NO"
"Aloina brevirostris" "InfoSpecies" "Bryophytes" "Aloina brevirostris (Hook. & Grev.) Kindb." "SPECIES" "INN" NA "EN" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "acrocarpous" "turf" "colonist" 0 "erect" 1 1 0 "both" "common" 6.7 11 2 18 0 400 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 "mix" 0 0 0 6 3 6 5 6 0 2 3 8 4 6 6.55 684 0 1260 2520 242152.761417281 "NO"
"Aloina obliquifolia" "InfoSpecies" "Bryophytes" "Aloina obliquifolia (Müll.Hal.) Broth." "SPECIES" NA NA "CR" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "acrocarpous" "cushion" "colonist" 0 "erect_to_inclined" 1 1 0 "dioicous" "common" 6.7 6 16.25 10 0 300 0 0 0 0 0 "occasional" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 4 1 5 8 72 1 1 8 1 0 0 0 0 0 0 0 0 0 "open" 0 0 2 2 2 8 5 3 0 6 4 8 4 5 8.35 712.4 0 100 200 2727303.73239783 "NO"
"Aloina rigida" "SPEED2ZERO" "Bryophytes" "Aloina rigida (Hedw.) Limpr." "SPECIES" "INN" NA "NT" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 "acrocarpous" "annual" "colonist" 0 "erect_to_inclined" 1 1 0 "dioicous" "common" 6.7 3 2.5 15 0 650 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 33 0 3 0 15 3 0 1 1 0 0 0 0 0 0 0 0 0 "open" 0 0 0 5 2 6 5 4 0 4 4 7 4 5 6.65 690.8 0 0 0 226724.576029776 "NO"
"Aloina rigida aggr." "InfoSpecies" "Bryophytes" NA "AGGREGATE" NA NA "CR bis NT" NA "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 "acrocarpous" "cushion" "colonist" 0 "erect" 1 1 0 "dioicous" "occasional" 6.7 4 40 15 0 260 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 6 155 0 14 19 346 2 2 54 1 0 0 54 0 1 0 0 0 0 "mix" 0 0 1 5 2 8 5 0 0 5 3 7 3 5 9.25 705.2 5 1377.5 2800 2727303.73239783 "YES"
