"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Body_mass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Fos" "Ter" "Aqu" "Arb" "Aer" "Verticality" "EcoTer" "EcoFresh" "EcoMar" "MajorHabitat_1" "MajorHabitat_2" "MajorHabitat_3" "MajorHabitat_4" "MajorHabitat_5" "MajorHabitat_6" "MajorHabitat_7" "MajorHabitat_8" "MajorHabitat_9" "MajorHabitat_10" "MajorHabitat_12" "MajorHabitat_13" "MajorHabitat_14" "MajorHabitat_15" "MajorHabitat_16" "MajorHabitat_17" "MajorHabitatSum" "Habitat_breadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "RangeSize_km2" "Venomous" "Dorsal_colour" "Dorsal_pattern" "Foraging_mode" "Shape_pupil" "Fangs" "Sex_determinism" "Body_temp" "MISSING_ALL_TRAITS"
"Ablepharus budaki" "EEA" "Reptiles" "Ablepharus budaki Göcmen, Kumlutas & Tosunoglu, 1996" "SPECIES" NA "No" NA "LEAST_CONCERN" "Ablepharus" "Scincidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2.01246323662278 48 3.5 "oviparous" 0.790054794520548 1 5 "Diurnal" "Carnivorous" 1 0 1 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 3 3 0.007191441 0.174890505 0.046548081 0.00316716 13.96 680.8463791 6743.9 20.610881 850 0.557 338800 "No" "Black/Brown/Green" "Blotched" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 22.75 "NO"
"Ablepharus kitaibelii" "EEA" "Reptiles" "Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833" "SPECIES" NA "No" NA "LEAST_CONCERN" "Ablepharus" "Scincidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4.786300923 58 2.8 "oviparous" 0.686383561643836 0.5 4 "Diurnal" "Carnivorous" 1 0 1 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 4 5 0.006395102 0.181519264 0.08190856 0.002096698 11.91 660.6308023 7460.9 18.593809 1000 0.885 1367300 "No" "Black/Brown" "Uniform" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 27 "NO"
"Acanthodactylus erythrurus" "EEA" "Reptiles" "Acanthodactylus erythrurus (Schinz, 1833)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Acanthodactylus" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 13.80384265 84 3.7 "oviparous" 1.00885205479452 1.16666666666667 2.1 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 4 7 0.005979315 0.208850734 0.044975597 0.01367028 14.54 530.0218894 6008.4 24.776289 1250 0.437 1548800 "No" "Black/Brown/Green" "Banded/blotched/uniform" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 34.8 "NO"
"Acanthodactylus schreiberi" "EEA" "Reptiles" "Acanthodactylus schreiberi Boulenger, 1878" "SPECIES" NA "No" NA "ENDANGERED" "Acanthodactylus" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 18.62087137 93 3 "oviparous" 1.69701369863014 2 9 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0.001362525 0.023926348 0 0 18.18 517.6700069 5540.1 26.083887 675 1.895 60500 "No" "Yellow" "Banded/blotched/uniform" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 36 "NO"
"Algyroides fitzingeri" "EEA" "Reptiles" "Algyroides fitzingeri (Wiegmann, 1834)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2.187761624 45 2.5 "oviparous" 1 1.04166666666667 8 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 5 10 0.002671211 0.055559479 0.041085483 0 14.62 695.4879555 5148.7 23.324023 900 3.091 96800 "No" "Black/Brown/Green" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 27 "NO"
"Algyroides marchi" "EEA" "Reptiles" "Algyroides marchi Valverde, 1958" "SPECIES" NA "Yes" NA "ENDANGERED" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3.5 53 5.5 "oviparous" 1.95843835616438 1.04166666666667 3.7 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 5 0.001031638 0.252095542 0.002123779 0 13.41434824 504.2973818 6547.232066 40.57867014 1000.830018 1.245 36300 "No" "Black/Brown/Green" "Banded/blotched" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 33.45 "NO"
"Algyroides moreoticus" "EEA" "Reptiles" "Algyroides moreoticus Bibron & Bory, 1833" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3.01995172 50.3 3.3 "oviparous" 1.00063561643836 1 9.2 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 3 5 0.001701489 0.082105927 0.135850352 0 15.49 725.2192214 6341.6 21.283643 550 0.985 96800 "No" "Gray" "Blotched" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 28.6 "NO"
"Algyroides nigropunctatus" "EEA" "Reptiles" "Algyroides nigropunctatus (Duméril & Bibron, 1839)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Algyroides" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 7.943282347 70 3.5 "oviparous" 1 1.04166666666667 2.3 "Diurnal" "Carnivorous" 1 0 0 1 0 0 1 0 1 0 1 0 0.75 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 4 4 0.003727453 0.090395256 0.074111981 0 12.13 1152.500185 6733.8 20.21403 800 0.879 326700 "No" "Gray" "Striped" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.3 "NO"
"Alsophylax pipiens" "EEA" "Reptiles" "Alsophylax pipiens (Pallas, 1827)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alsophylax" "Gekkonidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.698243652 41.6 1.5 "oviparous" 1.23287671232877 1 3.5 "Nocturnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 3 4 0.000367265 0.018905265 0.003310175 0.373015914 14.92 169.1941742 10560.9 25.392351 850 1.406 4126100 "No" "Black/Brown" "Banded/blotched/uniform" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 25.2 "NO"
"Anatololacerta anatolica" "EEA" "Reptiles" "Anatololacerta anatolica (Werner, 1900)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Anatololacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 9.77237221 75 5.5 "oviparous" 2.11917808219178 3 10 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0.009471595 0.160084669 0.110268385 0 13.44 643.1635099 7091.6 17.677192 850 1.982 229900 "No" "Black/Brown/Green" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.9 "NO"
